voluntary work	le bénévolat
Jack doesn’t like Camembert at all”.	Jack n’aime pas du tout le Camembert.
Don’t worry at all !”	Ne vous faites aucun souci.
He sees to it that his daughter can participate in the race”	Il fait en sorte que sa fille puisse participer à la course.
I’m going to show you the photo.	Je vais vous montrer la photo.
They are going to look after him.	"Ils vont s'occuper de lui."
She is worried for her future.	"Elle s'inquiète pour son avenir"
They are worrying about nothing.	"Ils s'inquiètent pour rien. [Ils se font du souci pour rien.]"
They can add something if they wish.	"Ils peuvent ajouter autre chose s'ils le souhaitent."
"Ils peuvent ajouter autre chose s'ils le souhaitent."	Ils ont un petit goûter à 10 heures.
At least, until we feel he has adapted…	"Au moins, jusqu'à ce que nous sentions qu'il s'est bien adapté…"
They’re going to stay a while with them, aren’t they?	"Ils vont rester un moment avec eux, n'est-ce pas?"
She’s going to see to it that he can go to the concert.	"Elle va faire en sorte qu'il puisse aller au concert."
“She had a narrow escape”	Elle l’a échappé belle.
My friend almost went abroad.”	Mon ami a failli partir à l’étranger.
“she almost failed her baccalauréat”.	Elle a failli échouer au baccalauréat.
I overtook him” ? {while driving}	Je les ai doublés. [doubler]
She was beside herself with rage when she heard the remark.”	Cette remarque l’a mise hors d’elle.
He was beside himself with rage when he heard the remark”	Cette remarque l’a mis hors de lui.
She calmed down”	Elle s’est calmée.
You decide ! It’s your future”.	Décide-toi ! Il s’agit de ton futur!
“It’s a novel by Zola”.	Il s’agit d’un roman de Zola
He had a narrow escape this afternoon.	"Il l'a échappé belle cet après-midi."
She had a narrow escape yesterday.	"Elle l'a échappé belle hier."
A guy nearly ran into us.	Un gars a failli nous rentrer dedans
They made me really angry.	"Ils m'ont mis hors de moi."
He nearly killed both of them!	Il a failli les tuer tous les deux.
What kind of car were they driving?	Quel genre de voiture conduisaient-ils?
They calmed down. [Suppose that you are talking about your two sisters.]	Elles se sont calmées.
She said to herself that she was just not going to think about it any more.	"Elle s'est dit qu'elle allait juste ne plus y penser"
She can say that again!	Ça, elle peut le dire!
Oh, that explains everything!	Oh, ça explique tout!
“the windows are decorated with lanterns”.	Les vitrines sont décorées de lanternes.
You are going to have to pay for it	Il va falloir que vous le payiez
it’s cheap”	C’est bon marché.
He broke them.	Il les a cassés.
He is going to have to buy them.	"Il va falloir qu'il les achète"
We are going to have to reserve them.	Il va falloir que nous les réservions.
We don’t have any choice!	"On n'a pas le choix."
When can we sit to eat?	Quand est-ce qu’on passe à table ?
between now and the end of the year”,	D’ici la fin de l’année.
Within a few years”	D’ici quelques années.
Can I have a little bread while waiting	Je peux prendre un morceau de pain en attendant ?
Are we leaving soon ? [partir]	On part bientôt?
Are we starting soon? [commencer]	On commence bientôt?
They’re arriving within a half hour.	"Ils arrivent d'ici une demi-heure. [or, … d'ici trente minutes.]"
May I visit you tomorrow? [rendre visite / passer chez quelqu’un]	Je peux te rendre visite demain? [or, … je peux passer chez toi/vous demain?]
He can explain the situation.	Il peut expliquer la situation.
this country has never been so prosperous”:	Ce pays n’a jamais été aussi prospère.
She comes from a … bourgeois background”	Elle vient d’un milieu bourgeois.
He goes to mass every sunday morning	Il va à la messe tous les dimanches matin.
Why is he asking me that question?	Pourquoi il me pose cette question?
I met them last week. [… la semaine dernìere]	Je les ai rencontrés la semaine dernière.
They never see us.	Ils ne nous voient jamais
She never goes to Paris.	Elle ne se rend jamais à paris. [or, elle ne va jamais à paris.]
They go into town every Saturday. [aller / se rendre … en ville]	Ils se rendent en ville tous les samedis.
Sport plays an important role in his life.	Le sport joue un rôle important dans sa vie.
They always have something to say when people start talking (about) politics. [la politique]	"Ils ont toujours quelque chose à dire lorsqu'on commence à parler de la politique."
I remember her.	"Je me souviens d'elle."
She remembers her long journey. [son long voyage]	Elle se souvient de son long voyage.
Things aren’t going well at all, any more”	Ça ne va plus du tout.
what’s wrong ?	Qu’est-ce qui ne vas pas ?
I want us to tell the truth to each other”.	Je veux qu’on se dise la vérité.
You only have to find the right words”	Il suffit de trouver les mots justes
What’s wrong? Things don’t seem to be going well	"Qu'est-ce qui ne va pas? ça n'a pas l'air d'aller…"
It’s something they always wanted to do.	"C'est quelque chose qu'ils ont toujours eu envie de faire. [... or, '… qu'ils ont toujours voulu faire.']"
It’s something my sister never wanted to do. [ne … jamais]	"C'est quelque chose que ma soeur n'a jamais eu envie de faire / … n'a jamais voulu faire."
You simply / only have to call Jean.	"Il suffit d'appeler jean. / tu n'as qu'à appeler Jean."
He is going to explain it to me.	"Il va me l'expliquer."
She is not going to explain it to them.	Elle ne va pas le leur expliquer
I can’t find the right words.	Je ne peux pas trouver les mots justes. / Je ne trouve pas les mots justes.
He always finds the right words.	He always finds the right words.
You must have forgotten them at the office”.	Tu as dû les oublier au bureau
You must have lost them !”	Tu as dû les perdre
You must have seen them there”,	Tu as dû les voir là-bas
She’s going to take a look”	Elle va jeter un coup d’oeil
They’re going to have a look”	Ils vont jeter un coup d’oeil
Damn ! I can’t find my wallet.	Mince! Je ne trouve pas mon portefeuille.
She can’t find her keys.	Elle ne trouve pas ses clés.
Did she look in her bag?	A-t-elle regardé dans son sac?
They looked everywhere.	Ils ont cherché partout.
Carol and Jane must have forgotten it at the office.	"Carol et Jane ont dû l'oublier au bureau."
He had to go there.	Il a dû y aller.
They had to meet Jacques.	Ils ont dû rejoindre jacques.
Jean and Philippe are going to take a look.	"Jean et Philippe vont y jeter un coup d'oeil."
The meeting was cancelled”	La réunion a été annulée.
The meeting was postponed until tomorrow” ?	La réunion a été reportée à demain.
the supplier I was due to meet ...	Le fournisseur que je devais rencontrer ...
That’s unlucky !”.	C’est pas de chance !”
His schedule has been changed.	Son planning a été modifié
Our concert has been deferred.	Notre concert a été reporté.
The man whom I was due to meet cannot come.	"L'homme que je devais voir / rencontrer ne peut pas venir."
The woman they were due to call has left.	"La femme qu'ils devaient voir est (déjà) partie."
Hélène has just contacted me.	Hélène vient de me contacter.
They have just prepared the meal.	Ils viennent de préparer le repas.
"I'm sorry to annoy you with this"	Je suis désolé de t’embêter avec ça …
They are short (of) money for …”	Ils sont à court d’argent pour …
we are short of money for …”	Nous sommes à court d’argent pour …
Can you loan him some money ?”	Est-ce que tu peux lui prêter de l’argent ?
Can you loan her some money ?”	Est-ce que tu peux lui prêter de l’argent ?”
I’m sorry to bother him with that, but …	"Je suis désolé(e) de l'embêter avec ça, mais…"
She’s short of money to continue her studies. [ continuer / les études ]	"Elle est à court d'argent pour continuer / poursuivre ses études."
They are short of money to respond to the crisis.	"Ils sont à court d'argent pour répondre / réagir à la crise."
How much does she need?	De combien a-t-elle besoin? / elle a besoin de combien?
Could you lend them fifty euros?	Peux-tu leur prêter cinquante euros?
That doesn’t suit me because I have to leave at 5 p.m.	"Cela ne m'arrange pas parce que je dois partir à 5 heures (de l'après-midi)"
That doesn’t suit us because Gilles is arriving.	Cela ne nous arrange pas parce que Gilles arrive.
He spent a lot of money this weekend. [ … ce week-end ]	"Il a dépensé beaucoup d'argent ce week-end / cette fin de semaine."
He’s going to pay me back next week.	Il va me rembourser la semaine prochaine.
How does it work?”	Comment ça marche?
Come back and see me !”	Reviens me voir !
Do they sell phone credit?	"Est-ce qu'ils vendent des recharges (de téléphone)?"
They don’t sell phone credit.	Ils ne vendent pas de recharges.
It’s for her mobile phone.	"C'est pour son téléphone portable."
They will need credit for their mobile phones.	Il leur faudrait des recharges pour leurs portables.
Their houses are located near the sea. [to be located – se situer]	Leurs maisons se situent près de la mer
He is finding it difficult to solve his problems. [le trouver difficile / résoudre]	Il le trouve difficile de résoudre ses difficultés.
And your parents?… When are they arriving?	Et tes parents?… Ils arrivent quand?
Where did you put your key? [mettre / une clé]	Où est-ce tu as mis ta clé? / Où est-ce vous avez mis votre clé?
Do they have their suitcase?	"Est-ce qu'ils ont leur valise?"
Do they have their suitcases?	"Est-ce qu'ils ont leurs valises?"
I thought that she was pregnant	Je croyais que elle était enceinte
Have you seen Paul today?	T’as vu paul aujourd’hui?
Tell me… have you seen that film?	Dis… t’as vu ce film?
I ran into Michael and Caroline in town this afternoon.	J’ai croisé Michael et Caroline en ville cet après-midi.
Wow… but he’s put on weight since the New Year! [… le Nouvel An]	Qu’est-ce qu’il a grossi depuis le nouvel an!
I thought he was there.	Je croyais qu’il était là.
I have news! Melissa is pregnant.	J’ai une nouvelle! Mélissa est enceinte.
She’s on the verge of buying it.	Elle est à deux doigts de l’acheter.
We’re on the verge of another catastrophe.	Nous sommes / On est à deux doigts d’une nouvelle catastrophe.
That smells good, don’t you think?”	Ça sent bon, tu ne trouves pas?
It’s fashionable to have a mobile phone nowadays”…	C’est très tendance d’avoir un téléphone portable de nos jours.
Paul bought them a gift.	Paul leur a acheté un cadeau.
We bought her a necklace.	Nous lui avons acheté un collier.
The girls bought him a watch.	Les filles lui ont acheté un montre.
That smells bad!	Ça sent mauvais!
She’ll put on less next time!Elle va en mettre moins la prochaine fois. / Elle en mettra moins la prochaine fois.	
They didn’t pay attention.	Ils n’ont pas fait attention.
It’s quite strong.	Il est plutôt fort.
The President will not emphasise the fact that… [mettre l’accent sur le fait que]	Le président ne mettra pas l’accent sur le fait que…
We’ll settle on that. [se mettre d’accord]	On se mettra d’accord. / Nous nous mettrons d’accord. / On va se mettre d’accord.
He is going to shut up shop. [mettre la clé sous la porte]	Il va mettre la clé sous la porte.
Excuse me… would you have the time?	Excusez-moi, avez-vous l’heure? / … vous avez l’heure?
It’s 10 a.m.	Il est dix heures du matin.
It’s 11.15 p.m. [… et quart]	Il est onze heures et quart du soir.
Joe and Caroline got up at 6 a.m.	Joe et Caroline se sont levés à 6 heures du matin.
I got up, I washed, I drank a cup of coffee… and I left. [quitter la maison / partir]	Je me suis levé(e), je me suis lavé(e), j’ai bu un café… et je suis parti(e).
They took a train to go to New York.	Ils ont pris un train pour aller à New York.
The girls are going to be late this evening.	Les filles vont être en retard ce soir.
“We look after Tom’s cat at weekends”:	On s’occupe du chat de Tom le week-end.
She seems sad	Elle a l’air triste.
She taught me so many interesting things…	Elle m’a appris tant de choses intéressantes
He has a new colleague. Her name is Claire.	Il a une nouvelle collègue. elle s’appelle claire.
Joe and Caroline are looking after our dog.	Joe et caroline s’occupent de notre chien.
Is it going well?	Ça se passe bien?
She seems friendly.	Elle a l’air sympa.
The problem is that it’s too far away.	L’ennui, c’est qu’il est trop loin.
He learned Russian when he was young.	Il a appris le russe quand il était jeune.
I live in Savingy-sur-Orge, a small town in the paris suburbs	J’habite à Savigny-sur-Orge, une petite ville dans la banlieue parisienne.
how many inhabitants are there?”	Combien y a-t-il d’habitants ?
There’s not much to visit	il n’y a pas grand-chose à visiter
I don’t know much about this subject	Je ne sais pas grand-chose sur ce sujet.
I have nothing much in common with him	Je n’ai pas grand-chose en commun avec lui.
At a pinch, one could say that he is a good president!”	A la rigueur, on pourrait dire que c’est un bon président!
This laptop belongs to me!	Cet ordinateur portable m’appartient!
Is it far from your place?	Est-ce loin de chez toi / vous?
Is it close to the capital?	Est-ce près de la capitale?
There’s nothing much to buy.	"Il n'y a pas grand-chose à acheter."
The book belongs to Paul.	Le livre appartient à paul.
The phone belongs to you?!	"Le téléphone portable t'appartient / vous appartient?"
He lives in a big city in the south of Spain.	"Il habite une grande ville dans le sud de l'espagne."
My father? He goes to the library, to the cinema, to the theatre. He’s very active.	Mon père? Il se rend / il va à la bibliothèque, au cinéma, au théâtre. il est très actif.
There are two swimming pools, several cinemas, markets, shops, everything.	Il y a deux piscines, plusieurs cinémas, marchés, magasins / boutiques, tout.
"We musn't forget that red wine is delicious with cheese."	il ne faut pas oublier que le vin rouge est délicieux avec du fromage.
Do they like wine?	"aiment-ils le vin? / est-ce qu'ils aiment le vin?"
Does she like chocolate?	"aime-t-elle le chocolat? / est-ce qu'elle aime le chocolat?"
Does your girlfriend like flowers?	ta petite amie, aime-t-elle les fleurs? / est-ce que ta petite amie aime les fleurs?
He would drink a white or red wine.	il boirait un vin blanc ou un vin rouge
We mustn’t forget that they’re arriving at 8 o’clock.	"nous ne devons pas / il ne faut pas oublier qu'ils vont arriver à huit heures / vingt heures."
I don’t like beer too much.	"je n'aime pas trop la bière."
"It's been ages since we saw each other!"	Ça fait un bail qu’on ne s’est pas vu !
as long ago as that ?!	si longtemps que ça ?!
What has become of you ?	Qu’est-ce que tu deviens ?
what’re they up to ?	Qu’est-ce qu’ils deviennent?
Nothing much !	Pas grand-chose !
What more could one ask for ?	Que demander de plus !
“she doesn’t wish to make life difficult for herself any more!”	Elle ne veut plus se compliquer la vie!
You don’t have an email address?!”	Vous n’avez pas d’adresse email ?
My father doesn’t want to make life difficult for himself.	mon père ne veut pas se compliquer la vie.
She doesn’t have an email address?!	"elle n'a pas d'adresse email?!"
They don’t have raincoats?! [imperméable (m)]	"ils n'ont pas d'imperméables?!"
He’s promising us nothing.	il ne nous promet rien
I don’t know. You’ll have to ask.	je ne sais pas. il faudrait/il faut que tu demandes.
It would be better if he’s there this evening.	"ce serait mieux qu'il soit là ce soir."
It would be better if you work this afternoon. [Suppose you’re talking to 2 people.]	ce serait mieux que tu travailles/vous travailliez cet après-midi.
I’m sending you a big file.	"je t'envoie un gros fichier."
What did you do to your hair?!”	Qu’as-tu fait à tes cheveux ?
Ça a dû te coûter une fortune.	“It must have cost you a fortune!
What did she do to her hair? [Qu’a-t-elle fait…?]	"qu'a-t-elle fait à ses cheveux?"
She went to the new hairdresser in town.	"elle s'est rendue [or, ""elle est allée...""] chez le nouveau coiffeur en ville."
The abuse of alcohol among young people is a serious problem.	"l'abus d'alcool chez les jeunes est un grave problème."
Among parents, one finds that…	chez les parents, on trouve que ...
He was fed up with life in the city.	il en avait marre de la vie en ville.
She was fed up with her “job” as stay-at-home mother. [… mère au foyer]	"elle en avait marre de son ""travail"" comme mère au foyer."
That must have cost him a fortune.	cela a dû lui coûter une fortune!
Could you do me a favour?	Tu pourrais me rendre un service?
Go and get the boss!”	Allez chercher le patron!
“Go and get me some milk!”	Va me prendre du lait!
We have an appointment”	Nous avons rendez-vous
You’re silly, sometimes!”	Qu’est-ce que t’es bête parfois!
That suits me!”	Ça m’arrange.
Hey, but he’s stupid sometimes!	"qu'est-ce qu'il est bête parfois!"
I have to go and buy a newspaper.	je dois aller acheter un journal.
You couldn’t go instead of him, could you?	tu ne pourrais pas y aller à sa place?
Could you do him a favour?	(est-ce que) tu pourrais lui rendre un service?
He must go and get his father from the station.	il doit aller chercher son père à la gare.
Go and get me some wine.	va me prendre du vin.
They completely forgot the meeting.	ils ont complètement oublié la réunion.
She’s got an appointment at 11 o’clock.	elle a rendez-vous à 11 heures.
“I’d like to know if the train is on time”	Je voudrais savoir si le train est à l’heure
I’d like to know if she’s arrived”	Je voudrais savoir si elle est bien arrivée…
“I have only one sister	Je n’ai qu’une soeur.
Can you tell me what’s in [such-and-such] a dish?”	Pourriez-vous me dire de quoi est composé …?
He is Canadian.	il est canadien.
She is Canadian.	elle est canadienne.
I’d like to know if they have arrived?	"je voudrais savoir s'ils sont (bien) arrivés?"
I have only one pen.	"je n'ai qu'un (seul) stylo."
They have only one option.	"ils n'ont qu'une (seule) option."
Could you tell me what’s in this dish?	pourriez-vous me dire de quoi est composé ce plat?
He doesn’t like eggs.	"il n'aime pas les oeufs."
The cook prepares them with …	le cuisinier les prépare avec…
Is this seat free?	Est-ce que ce siège est libre?
Sorry for calling you at this hour.	excusez-moi de vous déranger à cette heure-là.
No, I’m waiting for my wife.	"non, j'attends ma femme."
No, I’m waiting for my boyfriend.	"non, j'attends mon petit ami"
He’s gone to the toilets – he’s coming back.	il est parti aux toilettes. il va revenir.
He’s going to sit here.	"il va s'asseoir ici."
May she take that chair?	"est-ce qu'elle peut prendre cette chaise?"
These chairs are taken.	ces chaises sont prises.
He’s sitting beside his sister.	il est assis à côté de sa soeur.
They aren’t going to be able to pay their debts…”	Ils ne vont pas pouvoir payer leurs dettes.
we’ll keep in touch!”	On se tient au courant.
I’m not going to be able to fly on that day. [… ce jour-là]	je ne vais pas pouvoir voler ce jour-là.
She’s not going to be able to work.	elle ne va pas pouvoir travailler.
We’re not going to be able to call you.	"nous n'allons pas pouvoir vous appeler. [or, ""… t'appeler"".]"
They’re not going to be able to find the hotel.	"ils ne vont pas pouvoir trouver l'hôtel."
Jim has had an exhausting week.	jim a eu une semaine épuisante.
Sophie and Carole are exhausted.	sophie et carole sont crevées.
I’m extremely disappointed by the quality of the service. [… la qualité du service]	"je suis extrêmement déçu par la qualité du service. [or, ""… déçue"" if a female is speaking.]"
Jacques has been doing judo for two years. [… faire du judo]	ça fait deux ans que jacques fait du judo.
She keeps up to date with the situation.	elle se tient au courant de la situation.
